Configuration : nrThreads: 32 ,nrServers: 1 ,read sharded: true
Times in queue ,8565890.960784314,2.1763635384615384E7
Parsing times ,4597.196078431372,3938.3653846153848
Service times ,3507733.4901960786,3431060.326923077
Throughput ,9183.490196078432,9336.153846153846
Times in get ,3501445.1764705884,3425319.9423076925
Times in set ,0.0,0.0
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Number of gets ,9183.490196078432,9336.153846153846
Number of sets ,0.0,0.0
Number of mgets ,0.0,0.0
Number of misses get ,457.2,486.6078431372549
Arrival rate ,9182.313725490196,9331.865384615385
std Times in queue ,968318.0204773009,3610071.687795818
std Parsing times ,1692.8085422706,1269.0044581705426
std Service times ,272104.0387898255,328968.801937844
std Throughput ,692.8653656389247,871.8656665869762
std Times in get ,271647.87706482864,328588.75441460515
std Times in set ,0.0,0.0
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Number of gets ,692.8653656389247,871.8656665869762
std Number of sets ,0.0,0.0
std Number of mgets ,0.0,0.0
std Number of misses get ,132.86236548874666,163.03129496282273
std Arrival rate ,694.5463984557426,874.1599671627872
Thread 0 ,3510113.0,3418157.403846154
Thread std 0 ,275740.01838616026,325983.69632648333
Thread 1 ,3510785.0784313725,3412741.903846154
Thread std 1 ,271032.42549494654,326171.4184276547
Thread 2 ,3481036.3333333335,3440711.7115384615
Thread std 2 ,265867.3686667596,352952.7222285758
Thread 3 ,3536754.117647059,3422201.0384615385
Thread std 3 ,291652.1143264795,343144.1634053754
Thread 4 ,3497728.3333333335,3432103.826923077
Thread std 4 ,306595.3318255623,328762.55271373567
Thread 5 ,3526242.9803921566,3441238.576923077
Thread std 5 ,301991.6249441027,348498.8539508174
Thread 6 ,3507414.725490196,3420713.769230769
Thread std 6 ,268694.18215637485,344504.2282845679
Thread 7 ,3533348.9607843137,3423708.326923077
Thread std 7 ,293043.37902078324,340085.20038889913
Thread 8 ,3504978.529411765,3443028.3653846155
Thread std 8 ,294514.270510232,337489.31023181486
Thread 9 ,3511256.9215686275,3423551.25
Thread std 9 ,289271.2054189178,333765.9545723664
Thread 10 ,3520407.2156862747,3473494.1923076925
Thread std 10 ,299444.6068283958,341590.4927419494
Thread 11 ,3518396.6274509802,3429822.9423076925
Thread std 11 ,275990.49251725763,348250.4136488634
Thread 12 ,3514318.1960784313,3441828.1153846155
Thread std 12 ,289601.0733224599,338425.70985544653
Thread 13 ,3510169.882352941,3437367.6153846155
Thread std 13 ,290769.5105286417,317999.8471963595
Thread 14 ,3490929.6470588236,3415991.423076923
Thread std 14 ,269855.4454851577,337331.0749277853
Thread 15 ,3519235.745098039,3439259.3653846155
Thread std 15 ,301073.41431709594,319506.30576833163
Thread 16 ,3491192.6078431373,3429119.923076923
Thread std 16 ,260231.40330821555,334460.14418637456
Thread 17 ,3545411.862745098,3438185.019230769
Thread std 17 ,299773.6459921732,335428.0203550582
Thread 18 ,3509349.274509804,3446129.75
Thread std 18 ,269936.1465294397,311981.101179497
Thread 19 ,3527940.6078431373,3443166.6346153845
Thread std 19 ,276570.1200694738,342853.19314134563
Thread 20 ,3511488.0196078434,3442000.596153846
Thread std 20 ,287780.74262997444,345603.41321102175
Thread 21 ,3500373.1960784313,3438097.5384615385
Thread std 21 ,306979.2275181511,342235.8103323807
Thread 22 ,3524272.3725490198,3454002.923076923
Thread std 22 ,285592.7306450891,342873.583883866
Thread 23 ,3483006.7647058824,3439290.9423076925
Thread std 23 ,261348.67284251418,352468.5390296037
Thread 24 ,3499950.0588235296,3429219.576923077
Thread std 24 ,272666.1867619388,349963.30889475055
Thread 25 ,3497180.8235294116,3415115.0576923075
Thread std 25 ,308548.5091324672,321246.43879569805
Thread 26 ,3493666.588235294,3435641.326923077
Thread std 26 ,276420.51356758433,358289.53851050057
Thread 27 ,3498339.1764705884,3427021.4423076925
Thread std 27 ,301539.5355104008,330306.381357768
Thread 28 ,3523563.862745098,3416122.076923077
Thread std 28 ,286666.89602080116,330696.9629416296
Thread 29 ,3513436.274509804,3435062.7884615385
Thread std 29 ,283087.5395583548,352037.9492126056
Thread 30 ,3493745.294117647,3417140.826923077
Thread std 30 ,279234.6701128135,335195.4647575475
Thread 31 ,3508050.2352941176,3424025.923076923
Thread std 31 ,294209.62820917927,343748.2863521976
