Configuration : nrThreads: 32 ,nrServers: 1 ,read sharded: true
Times in queue ,8480162.333333334,2.196450686E7
Parsing times ,4323.235294117647,3932.98
Service times ,3479128.3333333335,3401157.18
Throughput ,9244.70588235294,9544.6
Times in get ,3472941.7843137253,3395420.42
Times in set ,0.0,0.0
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Number of gets ,9244.70588235294,9544.6
Number of sets ,0.0,0.0
Number of mgets ,0.0,0.0
Number of misses get ,461.64,497.2244897959184
Arrival rate ,9243.313725490196,9544.26
std Times in queue ,861409.3603789007,1720322.4055233106
std Parsing times ,1192.7437543451704,936.5914425212744
std Service times ,205224.4113873071,340058.2794650382
std Throughput ,532.8610060463291,740.2327267798408
std Times in get ,204903.60857586807,339989.7420092463
std Times in set ,0.0,0.0
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Number of gets ,532.8610060463291,740.2327267798408
std Number of sets ,0.0,0.0
std Number of mgets ,0.0,0.0
std Number of misses get ,129.83313623765744,174.9584790393284
std Arrival rate ,534.6187609950133,738.0646454182225
Thread 0 ,3475231.882352941,3388154.76
Thread std 0 ,201592.26371968217,335332.2413642777
Thread 1 ,3462065.0,3390011.84
Thread std 1 ,200770.43362616916,330947.62744260946
Thread 2 ,3504219.705882353,3405082.3
Thread std 2 ,216313.22325574956,332525.38615670125
Thread 3 ,3478588.9607843137,3413299.2
Thread std 3 ,210886.2436371762,344305.69340589514
Thread 4 ,3487191.3921568627,3405064.48
Thread std 4 ,219603.0056502942,335353.10445657553
Thread 5 ,3479607.3725490198,3416984.7
Thread std 5 ,223668.70017451802,337992.3407048039
Thread 6 ,3484223.7647058824,3393680.14
Thread std 6 ,225002.75702227192,344240.58730374154
Thread 7 ,3494316.0784313725,3397347.62
Thread std 7 ,224748.66576154288,356530.0996723318
Thread 8 ,3479788.470588235,3423075.28
Thread std 8 ,222616.428442858,347153.01172837784
Thread 9 ,3486889.5098039214,3427434.32
Thread std 9 ,209775.21761660717,342596.2861345126
Thread 10 ,3487493.470588235,3382510.26
Thread std 10 ,224713.35565340598,325552.7370932873
Thread 11 ,3482333.294117647,3389174.0
Thread std 11 ,225835.33252352645,337742.23300799157
Thread 12 ,3487345.411764706,3410084.76
Thread std 12 ,228346.34118016227,371026.32246637275
Thread 13 ,3487432.901960784,3405717.08
Thread std 13 ,210767.63607900098,342412.4393473306
Thread 14 ,3474210.137254902,3410915.12
Thread std 14 ,213954.8235002913,348712.3564331625
Thread 15 ,3492714.6666666665,3397370.54
Thread std 15 ,228438.51387957044,333341.49094132904
Thread 16 ,3490244.3333333335,3415264.02
Thread std 16 ,214794.19560999938,346564.0922786992
Thread 17 ,3460226.588235294,3400418.38
Thread std 17 ,225205.18085525266,333931.73515976564
Thread 18 ,3496067.4901960786,3401260.7
Thread std 18 ,209745.51841718788,347854.67392442987
Thread 19 ,3478358.1960784313,3417820.34
Thread std 19 ,222155.72186707414,357545.8516496334
Thread 20 ,3491172.137254902,3397537.08
Thread std 20 ,220772.05488113934,353029.41398894973
Thread 21 ,3468219.0,3395801.42
Thread std 21 ,232511.78760045694,358272.9582187581
Thread 22 ,3474201.0,3397598.42
Thread std 22 ,221997.94330506757,343192.0876980329
Thread 23 ,3465399.7843137253,3401682.3
Thread std 23 ,214254.45850299724,339945.275493358
Thread 24 ,3487520.7843137253,3405967.32
Thread std 24 ,218954.63443848948,355592.6466650609
Thread 25 ,3460206.8235294116,3408993.76
Thread std 25 ,200602.3045506413,355692.8432584611
Thread 26 ,3476870.0588235296,3391603.54
Thread std 26 ,206895.27263883167,343747.79623576836
Thread 27 ,3491652.3725490198,3395322.12
Thread std 27 ,224252.22835173437,363797.28780443495
Thread 28 ,3471102.0392156863,3383461.88
Thread std 28 ,224199.07600852952,346131.6043675095
Thread 29 ,3472209.745098039,3394698.72
Thread std 29 ,207059.35076077518,334713.58415602596
Thread 30 ,3458613.274509804,3390711.86
Thread std 30 ,214419.26619239035,342764.4823621316
Thread 31 ,3491665.4901960786,3419757.02
Thread std 31 ,207010.8119426976,384403.94776453427
