1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         174.13          ---          ---      3.17800       181.00
Gets         174.13       173.78         0.35      2.54700       182.57
Waits          0.00          ---          ---      0.00000          ---
Totals       348.26       173.78         0.35      2.86200       363.57


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.11
SET       2.100         0.72
SET       2.200         3.71
SET       2.300         9.39
SET       2.400        15.87
SET       2.500        23.22
SET       2.600        30.84
SET       2.700        37.98
SET       2.800        44.73
SET       2.900        51.15
SET       3.000        57.21
SET       3.100        62.39
SET       3.200        66.85
SET       3.300        71.30
SET       3.400        74.95
SET       3.500        78.31
SET       3.600        81.16
SET       3.700        83.65
SET       3.800        85.81
SET       3.900        87.46
SET       4.000        89.40
SET       4.100        90.81
SET       4.200        91.86
SET       4.300        92.97
SET       4.400        93.67
SET       4.500        94.38
SET       4.600        95.05
SET       4.700        95.62
SET       4.800        96.10
SET       4.900        96.46
SET       5.000        96.71
SET       5.100        97.02
SET       5.200        97.20
SET       5.300        97.41
SET       5.400        97.61
SET       5.500        97.79
SET       5.600        98.07
SET       5.700        98.20
SET       5.800        98.29
SET       5.900        98.37
SET       6.000        98.45
SET       6.100        98.58
SET       6.200        98.65
SET       6.300        98.75
SET       6.400        98.79
SET       6.500        98.84
SET       6.600        98.89
SET       6.700        98.95
SET       6.800        99.04
SET       6.900        99.07
SET       7.000        99.11
SET       7.100        99.14
SET       7.200        99.15
SET       7.300        99.16
SET       7.400        99.17
SET       7.500        99.21
SET       7.600        99.23
SET       7.700        99.26
SET       7.800        99.29
SET       7.900        99.33
SET       8.000        99.36
SET       8.100        99.39
SET       8.200        99.42
SET       8.300        99.43
SET       8.400        99.44
SET       8.700        99.48
SET       8.800        99.50
SET       8.900        99.52
SET       9.000        99.55
SET       9.100        99.57
SET       9.400        99.58
SET       9.600        99.60
SET       9.700        99.61
SET       9.800        99.62
SET       9.900        99.64
SET      10.000        99.67
SET      11.000        99.73
SET      12.000        99.75
SET      13.000        99.82
SET      14.000        99.84
SET      15.000        99.85
SET      16.000        99.87
SET      17.000        99.89
SET      19.000        99.89
SET      21.000        99.90
SET      22.000        99.91
SET      23.000        99.93
SET      30.000        99.94
SET      31.000        99.95
SET      32.000        99.96
SET      33.000        99.98
SET      38.000        99.99
SET      39.000       100.00
---
GET       0.460         0.03
GET       0.470         0.04
GET       0.520         0.06
GET       0.530         0.09
GET       0.540         0.14
GET       0.550         0.18
GET       0.560         0.23
GET       0.570         0.26
GET       0.580         0.29
GET       0.590         0.33
GET       0.600         0.39
GET       0.610         0.44
GET       0.620         0.53
GET       0.630         0.61
GET       0.640         0.69
GET       0.650         0.81
GET       0.660         0.88
GET       0.670         1.02
GET       0.680         1.09
GET       0.690         1.20
GET       0.700         1.29
GET       0.710         1.44
GET       0.720         1.55
GET       0.730         1.67
GET       0.740         1.82
GET       0.750         1.95
GET       0.760         2.11
GET       0.770         2.31
GET       0.780         2.47
GET       0.790         2.58
GET       0.800         2.74
GET       0.810         2.89
GET       0.820         3.01
GET       0.830         3.15
GET       0.840         3.36
GET       0.850         3.61
GET       0.860         3.79
GET       0.870         3.98
GET       0.880         4.17
GET       0.890         4.36
GET       0.900         4.62
GET       0.910         4.79
GET       0.920         4.93
GET       0.930         5.13
GET       0.940         5.27
GET       0.950         5.49
GET       0.960         5.64
GET       0.970         5.87
GET       0.980         6.03
GET       0.990         6.26
GET       1.000         7.16
GET       1.100         8.80
GET       1.200        10.20
GET       1.300        11.41
GET       1.400        12.50
GET       1.500        13.65
GET       1.600        14.41
GET       1.700        15.15
GET       1.800        16.31
GET       1.900        18.52
GET       2.000        22.58
GET       2.100        27.87
GET       2.200        33.60
GET       2.300        40.08
GET       2.400        47.28
GET       2.500        53.86
GET       2.600        59.72
GET       2.700        64.90
GET       2.800        69.62
GET       2.900        74.16
GET       3.000        78.13
GET       3.100        81.41
GET       3.200        84.07
GET       3.300        86.55
GET       3.400        88.34
GET       3.500        90.06
GET       3.600        91.27
GET       3.700        92.37
GET       3.800        93.47
GET       3.900        94.43
GET       4.000        95.30
GET       4.100        96.06
GET       4.200        96.69
GET       4.300        97.07
GET       4.400        97.42
GET       4.500        97.77
GET       4.600        97.95
GET       4.700        98.14
GET       4.800        98.25
GET       4.900        98.45
GET       5.000        98.65
GET       5.100        98.75
GET       5.200        98.78
GET       5.300        98.83
GET       5.400        98.92
GET       5.500        99.00
GET       5.600        99.08
GET       5.700        99.15
GET       5.800        99.20
GET       5.900        99.28
GET       6.000        99.36
GET       6.200        99.40
GET       6.300        99.44
GET       6.400        99.46
GET       6.500        99.49
GET       6.600        99.54
GET       6.700        99.58
GET       6.800        99.60
GET       6.900        99.61
GET       7.000        99.64
GET       7.100        99.66
GET       7.200        99.67
GET       7.400        99.68
GET       7.500        99.69
GET       7.800        99.70
GET       8.100        99.72
GET       8.300        99.74
GET       8.400        99.75
GET       8.500        99.76
GET       8.700        99.77
GET       8.800        99.80
GET       8.900        99.81
GET       9.100        99.82
GET       9.300        99.83
GET       9.500        99.85
GET       9.700        99.86
GET      10.000        99.87
GET      11.000        99.90
GET      12.000        99.92
GET      13.000        99.93
GET      15.000        99.94
GET      16.000        99.95
GET      23.000        99.97
GET      30.000        99.98
GET      34.000        99.99
GET      37.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         154.97          ---          ---      3.19700       161.08
Gets         154.97       463.95         0.95      3.23400       484.40
Waits          0.00          ---          ---      0.00000          ---
Totals       309.93       463.95         0.95      3.21600       645.48


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.04
SET       2.100         0.87
SET       2.200         3.52
SET       2.300         8.43
SET       2.400        15.48
SET       2.500        23.14
SET       2.600        30.83
SET       2.700        38.67
SET       2.800        45.68
SET       2.900        52.24
SET       3.000        58.11
SET       3.100        63.16
SET       3.200        67.81
SET       3.300        72.06
SET       3.400        75.70
SET       3.500        79.04
SET       3.600        81.83
SET       3.700        84.04
SET       3.800        86.23
SET       3.900        88.31
SET       4.000        89.94
SET       4.100        91.18
SET       4.200        92.20
SET       4.300        93.19
SET       4.400        93.90
SET       4.500        94.35
SET       4.600        94.91
SET       4.700        95.35
SET       4.800        95.75
SET       4.900        96.17
SET       5.000        96.57
SET       5.100        96.73
SET       5.200        96.91
SET       5.300        97.07
SET       5.400        97.27
SET       5.500        97.49
SET       5.600        97.61
SET       5.700        97.76
SET       5.800        97.89
SET       5.900        98.01
SET       6.000        98.06
SET       6.100        98.17
SET       6.200        98.21
SET       6.300        98.27
SET       6.400        98.34
