1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         185.95          ---          ---      3.01200       193.28
Gets         185.93       185.45         0.48      2.34900       194.83
Waits          0.00          ---          ---      0.00000          ---
Totals       371.88       185.45         0.48      2.68000       388.11


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.900         0.02
SET       2.000         0.22
SET       2.100         2.31
SET       2.200         7.34
SET       2.300        16.04
SET       2.400        25.43
SET       2.500        34.54
SET       2.600        43.14
SET       2.700        50.89
SET       2.800        57.25
SET       2.900        63.06
SET       3.000        68.70
SET       3.100        73.15
SET       3.200        76.97
SET       3.300        80.02
SET       3.400        82.62
SET       3.500        84.92
SET       3.600        86.91
SET       3.700        88.47
SET       3.800        89.99
SET       3.900        91.09
SET       4.000        92.36
SET       4.100        93.30
SET       4.200        94.22
SET       4.300        94.89
SET       4.400        95.28
SET       4.500        95.64
SET       4.600        96.06
SET       4.700        96.40
SET       4.800        96.84
SET       4.900        97.10
SET       5.000        97.32
SET       5.100        97.45
SET       5.200        97.65
SET       5.300        97.79
SET       5.400        97.97
SET       5.500        98.11
SET       5.600        98.20
SET       5.700        98.26
SET       5.800        98.33
SET       5.900        98.37
SET       6.000        98.42
SET       6.100        98.49
SET       6.200        98.55
SET       6.300        98.63
SET       6.400        98.65
SET       6.500        98.71
SET       6.600        98.80
SET       6.700        98.84
SET       6.800        98.88
SET       6.900        98.91
SET       7.000        99.00
SET       7.100        99.02
SET       7.200        99.06
SET       7.300        99.08
SET       7.400        99.12
SET       7.500        99.15
SET       7.600        99.18
SET       7.700        99.21
SET       7.800        99.25
SET       7.900        99.26
SET       8.000        99.28
SET       8.100        99.29
SET       8.200        99.32
SET       8.300        99.35
SET       8.500        99.36
SET       8.600        99.38
SET       8.900        99.41
SET       9.000        99.43
SET       9.100        99.45
SET       9.200        99.48
SET       9.300        99.49
SET       9.400        99.52
SET       9.500        99.53
SET       9.700        99.54
SET       9.800        99.55
SET       9.900        99.57
SET      10.000        99.62
SET      11.000        99.68
SET      12.000        99.70
SET      13.000        99.76
SET      14.000        99.79
SET      15.000        99.81
SET      16.000        99.83
SET      17.000        99.84
SET      18.000        99.85
SET      19.000        99.87
SET      20.000        99.91
SET      21.000        99.92
SET      22.000        99.94
SET      23.000        99.95
SET      25.000        99.96
SET      27.000        99.96
SET      35.000        99.98
SET      46.000        99.99
SET      63.000       100.00
---
GET       0.400         0.01
GET       0.410         0.02
GET       0.420         0.03
GET       0.430         0.04
GET       0.440         0.06
GET       0.450         0.07
GET       0.460         0.09
GET       0.470         0.13
GET       0.480         0.15
GET       0.490         0.22
GET       0.500         0.31
GET       0.510         0.36
GET       0.520         0.47
GET       0.530         0.54
GET       0.540         0.62
GET       0.550         0.77
GET       0.560         0.90
GET       0.570         1.01
GET       0.580         1.20
GET       0.590         1.34
GET       0.600         1.45
GET       0.610         1.60
GET       0.620         1.76
GET       0.630         1.91
GET       0.640         2.01
GET       0.650         2.18
GET       0.660         2.41
GET       0.670         2.54
GET       0.680         2.67
GET       0.690         2.81
GET       0.700         3.05
GET       0.710         3.28
GET       0.720         3.53
GET       0.730         3.68
GET       0.740         3.90
GET       0.750         4.11
GET       0.760         4.37
GET       0.770         4.63
GET       0.780         4.85
GET       0.790         5.15
GET       0.800         5.39
GET       0.810         5.63
GET       0.820         5.87
GET       0.830         6.19
GET       0.840         6.51
GET       0.850         6.73
GET       0.860         7.02
GET       0.870         7.40
GET       0.880         7.66
GET       0.890         7.91
GET       0.900         8.08
GET       0.910         8.33
GET       0.920         8.61
GET       0.930         8.79
GET       0.940         9.07
GET       0.950         9.31
GET       0.960         9.63
GET       0.970         9.93
GET       0.980        10.30
GET       0.990        10.52
