1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          28.32          ---          ---      3.94200        29.43
Gets         283.00       278.27         4.73      3.12800       292.44
Waits          0.00          ---          ---      0.00000          ---
Totals       311.31       278.27         4.73      3.20200       321.88


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.100         0.24
SET       3.200         2.47
SET       3.300         9.65
SET       3.400        21.48
SET       3.500        34.02
SET       3.600        46.50
SET       3.700        55.62
SET       3.800        64.27
SET       3.900        71.10
SET       4.000        76.87
SET       4.100        82.11
SET       4.200        86.17
SET       4.300        89.23
SET       4.400        90.94
SET       4.500        92.47
SET       4.600        93.29
SET       4.700        93.94
SET       4.800        94.41
SET       4.900        94.82
SET       5.000        95.06
SET       5.100        95.53
SET       5.200        95.76
SET       5.300        96.12
SET       5.400        96.29
SET       5.500        96.59
SET       5.600        96.70
SET       5.700        96.82
SET       5.800        96.88
SET       5.900        97.00
SET       6.000        97.12
SET       6.100        97.29
SET       6.200        97.41
SET       6.300        97.53
SET       6.400        97.59
SET       6.600        97.76
SET       6.800        97.94
SET       6.900        98.00
SET       7.000        98.12
SET       7.100        98.29
SET       7.300        98.35
SET       7.400        98.53
SET       7.500        98.59
SET       7.700        98.71
SET       7.800        98.76
SET       7.900        98.88
SET       8.100        98.94
SET       8.400        99.00
SET       8.600        99.12
SET       9.300        99.18
SET       9.500        99.29
SET      10.000        99.35
SET      11.000        99.53
SET      12.000        99.65
SET      13.000        99.71
SET      18.000        99.82
SET      19.000        99.88
SET      26.000        99.94
SET      41.000       100.00
---
GET       1.600         0.01
GET       1.700         0.27
GET       1.800         1.60
GET       1.900         5.05
GET       2.000        10.72
GET       2.100        16.46
GET       2.200        20.90
GET       2.300        24.31
GET       2.400        26.73
GET       2.500        28.46
GET       2.600        29.87
GET       2.700        30.84
GET       2.800        31.86
GET       2.900        34.31
GET       3.000        40.12
GET       3.100        48.14
GET       3.200        57.10
GET       3.300        65.19
GET       3.400        72.21
GET       3.500        77.85
GET       3.600        82.55
GET       3.700        86.20
GET       3.800        88.80
GET       3.900        90.83
GET       4.000        92.58
GET       4.100        94.11
GET       4.200        95.04
GET       4.300        95.83
GET       4.400        96.35
GET       4.500        96.67
GET       4.600        97.00
GET       4.700        97.24
GET       4.800        97.41
GET       4.900        97.58
GET       5.000        97.73
GET       5.100        97.87
GET       5.200        97.96
GET       5.300        98.06
GET       5.400        98.17
GET       5.500        98.23
GET       5.600        98.28
GET       5.700        98.36
GET       5.800        98.45
GET       5.900        98.56
GET       6.000        98.66
GET       6.100        98.70
GET       6.200        98.78
GET       6.300        98.84
GET       6.400        98.88
GET       6.500        98.92
GET       6.600        98.96
GET       6.700        98.99
GET       6.800        99.05
GET       6.900        99.10
GET       7.000        99.15
GET       7.100        99.22
GET       7.200        99.24
GET       7.300        99.29
GET       7.400        99.33
GET       7.500        99.38
GET       7.600        99.39
GET       7.700        99.43
GET       7.800        99.45
GET       7.900        99.46
GET       8.000        99.49
GET       8.100        99.52
GET       8.200        99.54
GET       8.300        99.55
GET       8.400        99.56
GET       8.500        99.58
GET       8.700        99.59
GET       8.800        99.59
GET       9.000        99.62
GET       9.100        99.63
GET       9.200        99.65
GET       9.300        99.65
GET       9.400        99.67
GET       9.500        99.69
GET       9.600        99.70
GET       9.700        99.71
GET       9.800        99.71
GET       9.900        99.75
GET      10.000        99.81
GET      11.000        99.85
GET      12.000        99.88
GET      13.000        99.89
GET      14.000        99.90
GET      15.000        99.91
GET      16.000        99.92
GET      17.000        99.92
GET      18.000        99.94
GET      19.000        99.94
GET      22.000        99.95
GET      23.000        99.95
GET      26.000        99.96
GET      27.000        99.97
GET      28.000        99.98
GET      30.000        99.98
GET      31.000        99.99
GET      32.000        99.99
GET      35.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          58.38          ---          ---      3.94100        60.68
Gets         233.53       574.44         9.38      3.28300       600.28
Waits          0.00          ---          ---      0.00000          ---
Totals       291.91       574.44         9.38      3.41400       660.96


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.100         0.14
SET       3.200         2.80
SET       3.300         9.16
SET       3.400        19.73
SET       3.500        32.40
SET       3.600        44.42
SET       3.700        55.47
SET       3.800        64.66
SET       3.900        71.80
SET       4.000        77.53
SET       4.100        82.33
SET       4.200        85.21
SET       4.300        87.78
SET       4.400        89.89
SET       4.500        91.18
SET       4.600        92.35
SET       4.700        93.12
SET       4.800        93.86
SET       4.900        94.63
SET       5.000        94.98
SET       5.100        95.35
SET       5.200        95.66
SET       5.300        95.89
SET       5.400        96.00
SET       5.500        96.17
SET       5.600        96.43
SET       5.700        96.46
SET       5.800        96.57
SET       5.900        96.77
SET       6.000        97.06
SET       6.100        97.12
SET       6.200        97.29
SET       6.300        97.32
SET       6.400        97.37
SET       6.500        97.43
SET       6.600        97.52
SET       6.700        97.57
SET       6.800        97.72
SET       6.900        97.86
SET       7.000        97.89
SET       7.100        97.94
SET       7.200        98.03
SET       7.300        98.09
SET       7.400        98.12
SET       7.500        98.20
SET       7.600        98.32
SET       7.800        98.37
SET       7.900        98.43
SET       8.000        98.54
SET       8.100        98.66
SET       8.200        98.69
SET       8.300        98.74
SET       8.400        98.77
SET       8.500        98.83
SET       8.800        98.86
SET       9.100        98.89
SET       9.200        99.00
SET       9.300        99.03
SET       9.400        99.12
SET       9.600        99.14
SET       9.700        99.17
SET       9.800        99.20
SET       9.900        99.23
SET      10.000        99.43
SET      11.000        99.57
SET      12.000        99.69
SET      13.000        99.86
SET      14.000        99.89
SET      15.000        99.91
SET      24.000        99.94
SET      26.000        99.97
SET      29.000       100.00
---
GET       1.700         0.04
GET       1.800         0.35
GET       1.900         1.54
GET       2.000         4.45
GET       2.100         9.04
GET       2.200        14.34
GET       2.300        18.73
GET       2.400        21.90
GET       2.500        24.46
GET       2.600        26.31
GET       2.700        28.00
GET       2.800        29.00
GET       2.900        30.42
GET       3.000        33.66
GET       3.100        38.90
GET       3.200        45.62
GET       3.300        53.30
GET       3.400        60.83
GET       3.500        67.79
GET       3.600        74.08
GET       3.700        79.17
GET       3.800        83.62
GET       3.900        86.97
GET       4.000        89.77
GET       4.100        91.81
GET       4.200        93.34
GET       4.300        94.55
GET       4.400        95.11
GET       4.500        95.58
GET       4.600        96.04
GET       4.700        96.47
GET       4.800        96.82
GET       4.900        97.10
GET       5.000        97.30
GET       5.100        97.47
GET       5.200        97.64
GET       5.300        97.79
GET       5.400        97.91
GET       5.500        98.05
GET       5.600        98.14
GET       5.700        98.17
GET       5.800        98.27
GET       5.900        98.36
GET       6.000        98.42
GET       6.100        98.52
GET       6.200        98.56
GET       6.300        98.61
GET       6.400        98.67
GET       6.500        98.73
GET       6.600        98.79
GET       6.700        98.86
GET       6.800        98.90
