1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          25.62          ---          ---      4.26200        26.63
Gets         256.04       251.76         4.28      3.46800       264.58
Waits          0.00          ---          ---      0.00000          ---
Totals       281.66       251.76         4.28      3.54000       291.21


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.400         0.52
SET       3.500         3.71
SET       3.600        13.73
SET       3.700        27.98
SET       3.800        42.62
SET       3.900        54.65
SET       4.000        64.93
SET       4.100        71.50
SET       4.200        76.71
SET       4.300        80.87
SET       4.400        84.65
SET       4.500        86.47
SET       4.600        88.29
SET       4.700        90.18
SET       4.800        91.02
SET       4.900        92.00
SET       5.000        92.45
SET       5.100        93.04
SET       5.200        93.43
SET       5.300        93.75
SET       5.400        94.01
SET       5.500        94.60
SET       5.600        95.12
SET       5.700        95.25
SET       5.800        95.58
SET       5.900        95.64
SET       6.000        95.90
SET       6.200        95.97
SET       6.300        96.10
SET       6.500        96.16
SET       6.700        96.42
SET       6.800        96.68
SET       6.900        96.75
SET       7.000        96.94
SET       7.100        97.01
SET       7.200        97.14
SET       7.300        97.20
SET       7.400        97.40
SET       7.500        97.53
SET       7.700        97.59
SET       7.800        97.66
SET       7.900        97.79
SET       8.000        97.92
SET       8.100        97.98
SET       8.300        98.05
SET       8.600        98.24
SET       8.700        98.31
SET       8.800        98.37
SET       9.000        98.44
SET       9.100        98.50
SET       9.300        98.57
SET       9.400        98.63
SET       9.500        98.70
SET       9.600        98.76
SET       9.700        98.83
SET       9.900        98.89
SET      10.000        98.96
SET      11.000        99.15
SET      12.000        99.41
SET      13.000        99.54
SET      14.000        99.61
SET      15.000        99.67
SET      16.000        99.74
SET      25.000        99.80
SET      26.000        99.87
SET      30.000        99.93
SET      47.000       100.00
---
GET       1.900         0.04
GET       2.000         0.76
GET       2.100         3.57
GET       2.200         9.39
GET       2.300        17.35
GET       2.400        23.33
GET       2.500        27.27
GET       2.600        29.81
GET       2.700        31.69
GET       2.800        33.26
GET       2.900        34.30
GET       3.000        35.13
GET       3.100        35.62
GET       3.200        35.99
GET       3.300        36.49
GET       3.400        38.63
GET       3.500        45.39
GET       3.600        56.28
GET       3.700        66.86
GET       3.800        74.63
GET       3.900        80.43
GET       4.000        84.67
GET       4.100        87.67
GET       4.200        89.92
GET       4.300        91.41
GET       4.400        92.57
GET       4.500        93.43
GET       4.600        94.14
GET       4.700        94.71
GET       4.800        95.20
GET       4.900        95.59
GET       5.000        95.95
GET       5.100        96.21
GET       5.200        96.50
GET       5.300        96.71
GET       5.400        96.86
GET       5.500        97.00
GET       5.600        97.19
GET       5.700        97.29
GET       5.800        97.38
GET       5.900        97.47
GET       6.000        97.59
GET       6.100        97.73
GET       6.200        97.82
GET       6.300        97.91
GET       6.400        97.96
GET       6.500        98.05
GET       6.600        98.17
GET       6.700        98.23
GET       6.800        98.25
GET       6.900        98.31
GET       7.000        98.37
GET       7.100        98.43
GET       7.200        98.48
GET       7.300        98.55
GET       7.400        98.59
GET       7.500        98.63
GET       7.600        98.67
GET       7.700        98.69
GET       7.800        98.76
GET       7.900        98.82
GET       8.000        98.90
GET       8.100        98.94
GET       8.200        98.98
GET       8.300        99.04
GET       8.400        99.11
GET       8.500        99.14
GET       8.600        99.17
GET       8.700        99.19
GET       8.800        99.21
GET       8.900        99.27
GET       9.000        99.28
GET       9.100        99.30
GET       9.200        99.33
GET       9.300        99.35
GET       9.400        99.37
GET       9.500        99.41
GET       9.600        99.43
GET       9.700        99.44
GET       9.800        99.48
GET       9.900        99.50
GET      10.000        99.58
GET      11.000        99.80
GET      12.000        99.86
GET      13.000        99.88
GET      14.000        99.90
GET      15.000        99.91
GET      17.000        99.92
GET      18.000        99.92
GET      19.000        99.93
GET      21.000        99.93
GET      23.000        99.94
GET      26.000        99.95
GET      27.000        99.95
GET      29.000        99.97
GET      33.000        99.97
GET      36.000        99.98
GET      42.000        99.99
GET      43.000        99.99
GET      62.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          52.83          ---          ---      4.29400        54.92
Gets         211.28       519.53         8.68      3.64500       542.90
Waits          0.00          ---          ---      0.00000          ---
Totals       264.11       519.53         8.68      3.77500       597.81


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.300         0.03
SET       3.400         0.41
SET       3.500         2.71
SET       3.600        10.73
SET       3.700        25.30
SET       3.800        40.60
SET       3.900        53.22
SET       4.000        62.81
SET       4.100        70.00
SET       4.200        75.55
SET       4.300        79.40
SET       4.400        82.65
SET       4.500        84.89
SET       4.600        87.03
SET       4.700        88.08
SET       4.800        89.24
SET       4.900        90.47
SET       5.000        91.39
SET       5.100        91.74
SET       5.200        92.30
SET       5.300        92.52
SET       5.400        92.84
SET       5.500        93.34
SET       5.600        93.66
SET       5.700        93.85
SET       5.800        94.10
SET       5.900        94.32
SET       6.000        94.57
SET       6.100        94.70
SET       6.200        94.76
SET       6.300        95.08
SET       6.400        95.27
SET       6.500        95.39
SET       6.600        95.58
SET       6.700        95.68
SET       6.800        95.84
SET       6.900        96.03
SET       7.000        96.21
SET       7.100        96.44
SET       7.200        96.53
SET       7.300        96.69
SET       7.400        96.78
SET       7.500        96.81
SET       7.600        96.97
SET       7.700        97.03
SET       7.800        97.16
SET       7.900        97.22
SET       8.000        97.29
SET       8.100        97.35
SET       8.200        97.41
SET       8.300        97.51
SET       8.400        97.63
SET       8.500        97.70
SET       8.600        97.79
SET       8.700        97.82
SET       8.800        97.95
SET       8.900        98.01
SET       9.000        98.04
SET       9.100        98.14
SET       9.200        98.20
SET       9.300        98.39
SET       9.400        98.45
SET       9.600        98.49
SET       9.700        98.58
SET       9.800        98.64
SET       9.900        98.83
SET      10.000        99.18
SET      11.000        99.43
SET      12.000        99.56
SET      13.000        99.62
SET      14.000        99.68
SET      15.000        99.72
SET      17.000        99.78
SET      21.000        99.81
SET      22.000        99.84
SET      23.000        99.87
SET      24.000        99.94
SET      27.000        99.97
SET      33.000       100.00
---
GET       1.900         0.02
GET       2.000         0.27
GET       2.100         1.33
GET       2.200         4.49
GET       2.300        10.16
GET       2.400        16.53
GET       2.500        21.19
GET       2.600        24.06
GET       2.700        26.20
GET       2.800        27.64
GET       2.900        28.67
GET       3.000        29.71
GET       3.100        30.22
GET       3.200        30.82
GET       3.300        31.20
GET       3.400        32.30
GET       3.500        36.30
GET       3.600        44.58
GET       3.700        55.29
GET       3.800        66.38
GET       3.900        74.49
GET       4.000        80.41
GET       4.100        84.37
GET       4.200        87.17
GET       4.300        89.22
GET       4.400        90.75
GET       4.500        91.83
GET       4.600        92.70
GET       4.700        93.36
GET       4.800        93.91
GET       4.900        94.42
GET       5.000        94.84
GET       5.100        95.08
GET       5.200        95.37
GET       5.300        95.52
GET       5.400        95.72
GET       5.500        95.90
GET       5.600        96.08
GET       5.700        96.25
GET       5.800        96.34
GET       5.900        96.45
GET       6.000        96.54
GET       6.100        96.68
GET       6.200        96.81
GET       6.300        96.86
GET       6.400        96.98
GET       6.500        97.09
GET       6.600        97.18
GET       6.700        97.30
GET       6.800        97.42
GET       6.900        97.52
GET       7.000        97.60
GET       7.100        97.70
GET       7.200        97.78
GET       7.300        97.85
GET       7.400        97.89
GET       7.500        97.91
GET       7.600        98.00
GET       7.700        98.10
GET       7.800        98.15
GET       7.900        98.19
GET       8.000        98.26
GET       8.100        98.30
GET       8.200        98.38
GET       8.300        98.41
GET       8.400        98.45
GET       8.500        98.52
GET       8.600        98.54
GET       8.700        98.57
GET       8.800        98.60
GET       8.900        98.64
GET       9.000        98.73
GET       9.100        98.77
GET       9.200        98.81
GET       9.300        98.86
GET       9.400        98.90
GET       9.500        98.94
GET       9.600        99.01
GET       9.700        99.08
GET       9.800        99.18
GET       9.900        99.26
GET      10.000        99.46
GET      11.000        99.70
GET      12.000        99.83
GET      13.000        99.87
GET      14.000        99.91
GET      15.000        99.92
GET      16.000        99.93
GET      17.000        99.95
GET      18.000        99.96
GET      21.000        99.97
GET      22.000        99.98
GET      26.000        99.99
GET      35.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          84.88          ---          ---      4.32500        88.23
Gets         169.74       835.29        13.45      3.71100       871.20
Waits          0.00          ---          ---      0.00000          ---
Totals       254.63       835.29        13.45      3.91500       959.42


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.400         0.59
SET       3.500         3.55
SET       3.600        11.68
SET       3.700        24.11
SET       3.800        37.62
SET       3.900        49.60
SET       4.000        59.95
SET       4.100        67.39
SET       4.200        73.26
SET       4.300        78.54
SET       4.400        81.84
SET       4.500        84.35
SET       4.600        86.49
SET       4.700        88.14
SET       4.800        89.40
SET       4.900        90.28
SET       5.000        91.30
SET       5.100        92.01
SET       5.200        92.48
SET       5.300        92.95
SET       5.400        93.23
SET       5.500        93.46
SET       5.600        93.93
SET       5.700        94.19
SET       5.800        94.52
SET       5.900        94.72
SET       6.000        94.93
SET       6.100        95.11
SET       6.200        95.25
SET       6.300        95.39
SET       6.400        95.50
SET       6.500        95.64
SET       6.600        95.76
SET       6.700        95.90
SET       6.800        95.97
SET       6.900        96.11
SET       7.000        96.27
SET       7.100        96.39
SET       7.200        96.51
SET       7.300        96.56
SET       7.400        96.72
SET       7.500        96.84
SET       7.600        96.92
SET       7.700        96.94
SET       7.800        97.04
SET       7.900        97.05
SET       8.000        97.09
SET       8.100        97.11
SET       8.200        97.23
SET       8.300        97.33
SET       8.400        97.39
SET       8.500        97.45
SET       8.600        97.57
SET       8.700        97.62
SET       8.800        97.68
SET       8.900        97.74
SET       9.000        97.78
SET       9.100        97.84
SET       9.200        97.98
SET       9.300        98.02
SET       9.400        98.10
SET       9.500        98.15
SET       9.600        98.21
SET       9.700        98.27
SET       9.800        98.33
SET       9.900        98.37
SET      10.000        98.68
SET      11.000        99.18
SET      12.000        99.53
SET      13.000        99.59
SET      14.000        99.67
SET      15.000        99.73
SET      16.000        99.74
SET      17.000        99.76
SET      18.000        99.78
SET      20.000        99.80
SET      21.000        99.82
SET      24.000        99.84
SET      27.000        99.90
SET      28.000        99.92
SET      29.000        99.96
SET      32.000        99.98
SET      50.000       100.00
---
GET       2.000         0.04
GET       2.100         0.32
GET       2.200         1.95
GET       2.300         6.24
GET       2.400        12.39
GET       2.500        18.09
GET       2.600        22.00
GET       2.700        24.91
GET       2.800        26.98
GET       2.900        28.38
GET       3.000        29.44
GET       3.100        30.34
GET       3.200        30.87
GET       3.300        31.37
GET       3.400        31.86
GET       3.500        33.52
GET       3.600        38.57
GET       3.700        47.69
GET       3.800        57.95
GET       3.900        67.49
GET       4.000        74.57
GET       4.100        80.35
GET       4.200        84.22
GET       4.300        87.21
GET       4.400        89.37
GET       4.500        90.75
GET       4.600        92.06
GET       4.700        93.10
GET       4.800        93.75
GET       4.900        94.36
GET       5.000        94.80
GET       5.100        95.24
GET       5.200        95.52
GET       5.300        95.75
GET       5.400        96.06
GET       5.500        96.21
GET       5.600        96.39
GET       5.700        96.54
GET       5.800        96.64
GET       5.900        96.78
GET       6.000        96.91
GET       6.100        97.00
GET       6.200        97.08
GET       6.300        97.21
GET       6.400        97.31
GET       6.500        97.41
GET       6.600        97.47
GET       6.700        97.52
GET       6.800        97.62
GET       6.900        97.74
GET       7.000        97.86
GET       7.100        98.01
GET       7.200        98.03
GET       7.300        98.06
GET       7.400        98.09
GET       7.500        98.11
GET       7.600        98.20
GET       7.700        98.22
GET       7.800        98.26
GET       7.900        98.31
GET       8.000        98.35
GET       8.100        98.42
GET       8.200        98.51
GET       8.300        98.59
GET       8.400        98.63
GET       8.500        98.68
GET       8.600        98.71
GET       8.700        98.74
GET       8.800        98.76
GET       8.900        98.80
GET       9.000        98.86
GET       9.100        98.91
GET       9.200        98.95
GET       9.300        98.98
GET       9.400        98.99
GET       9.500        99.02
GET       9.600        99.06
GET       9.700        99.13
GET       9.800        99.18
GET       9.900        99.24
GET      10.000        99.41
GET      11.000        99.65
GET      12.000        99.76
GET      13.000        99.83
GET      14.000        99.87
GET      15.000        99.90
GET      16.000        99.92
GET      19.000        99.94
GET      22.000        99.95
GET      24.000        99.96
GET      25.000        99.97
GET      28.000        99.98
GET      31.000        99.99
GET      35.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          86.83          ---          ---      4.19000        90.25
Gets         173.62       854.37        13.75      3.64600       891.10
Waits          0.00          ---          ---      0.00000          ---
Totals       260.45       854.37        13.75      3.82800       981.35


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.400         0.52
SET       3.500         3.76
SET       3.600        12.92
SET       3.700        26.76
SET       3.800        42.13
SET       3.900        55.30
SET       4.000        65.57
SET       4.100        72.88
SET       4.200        78.39
SET       4.300        82.44
SET       4.400        85.20
SET       4.500        87.64
SET       4.600        89.23
SET       4.700        90.60
SET       4.800        91.50
SET       4.900        92.48
SET       5.000        93.30
SET       5.100        93.74
SET       5.200        94.20
SET       5.300        94.72
SET       5.400        95.24
SET       5.500        95.60
SET       5.600        95.78
SET       5.700        95.95
SET       5.800        96.14
SET       5.900        96.33
SET       6.000        96.53
SET       6.100        96.70
SET       6.200        96.97
SET       6.300        97.12
SET       6.400        97.27
SET       6.500        97.43
SET       6.600        97.58
