Configuration : nrThreads: 8 ,nrServers: 2 ,read sharded: true
Times in queue ,2.8195009529411763E7,2.3320758274509802E7
Parsing times ,3705.4901960784314,4123.764705882353
Service times ,2689589.68627451,1.9011658666666668E7
Throughput ,3008.7843137254904,5013.686274509804
Times in get ,0.0,0.0
Times in set ,2684582.098039216,1.9005766980392158E7
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.07843137254902,45.90196078431372
Number of gets ,0.0,0.0
Number of sets ,3008.7843137254904,5013.686274509804
Number of mgets ,0.0,0.0
Number of misses get ,0.0,0.0
Arrival rate ,3007.529411764706,5011.803921568628
std Times in queue ,4096272.608236948,6.3391747052875504E7
std Parsing times ,1214.2771573664559,1164.8411151437829
std Service times ,284841.11400522856,6.0798696657805055E7
std Throughput ,246.36154843850852,1511.2310411078258
std Times in get ,0.0,0.0
std Times in set ,284842.00271920953,6.07990524464315E7
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,6.581316394931646,4.614130045678315
std Number of gets ,0.0,0.0
std Number of sets ,246.36154843850852,1511.2310411078258
std Number of mgets ,0.0,0.0
std Number of misses get ,0.0,0.0
std Arrival rate ,245.55458480274206,1513.6255153717232
Thread 0 ,2686116.2352941176,1.854156670588235E7
Thread std 0 ,280801.4195643311,5.8534092342573695E7
Thread 1 ,2688022.3333333335,1.8566561529411763E7
Thread std 1 ,280665.8424094865,5.852221175609102E7
Thread 2 ,2692763.0784313725,1.894410943137255E7
Thread std 2 ,284352.66586250556,6.078459411752875E7
Thread 3 ,2692506.0784313725,1.898179980392157E7
Thread std 3 ,288914.7143526506,6.039989241456776E7
Thread 4 ,2688463.1764705884,1.8532201333333332E7
Thread std 4 ,291951.1387325424,5.8397016717235625E7
Thread 5 ,2690359.0,1.8550859470588237E7
Thread std 5 ,288124.5729721781,5.851046031933754E7
Thread 6 ,2684976.7843137253,1.891237368627451E7
Thread std 6 ,280281.83204455575,6.079058262377642E7
Thread 7 ,2694447.9607843137,1.9104284588235293E7
Thread std 7 ,290974.47247268684,6.043674618999771E7
